"Indicador";"Valor"
"Candidatos Simulados";"40000"
"Media Acertos";"58.12"
"DP Acertos";"14.69"
"Mediana Acertos";"59"
"Nota Media";"49.99"
"DP Nota";"6.69"
"Aprovados (>=70)";"27 (0.1%)"
"Limite (60-69)";"2659 (6.6%)"
"Reprovados (<60)";"37314 (93.3%)"
"R_Biserial Medio";"0.314"
"Itens Problema";"0"
