"Metrica";"ENAMED_Oficial";"Simulado_40k"
"N";49745;40000
"Media_Acertos";59,34;58,12
"DP_Acertos";10,03;14,69
"Mediana_Acertos";59;59
"Min_Acertos";5;7
"Max_Acertos";87;98
"R_Biserial_Medio";NA;0,314
