"Metrica";"ENAMED_Oficial";"Simulado_SPRMED"
"N_Candidatos";49745;591
"Media_Acertos";59,3433108855215;58,2301184433164
"DP_Acertos";10,0256314894467;13,8834558226389
"Mediana_Acertos";59;59
"Min_Acertos";5;7
"Max_Acertos";87;98
"Nota_Media";68,5847783696819;53,3576988155668
"DP_Nota";10,190649818512;22,7557860949094
"Percentil_10";46;40
"Percentil_25";52;50
"Percentil_50";59;59
"Percentil_75";67;67
"Percentil_90";73;75
