"Metrica";"Valor"
"Total_Itens";100
"Media_R_Biserial";0,267932
"Mediana_R";0,27
"Min_R";0,0212
"Max_R";0,4216
"Itens_Alta_Discriminacao";37
"Pct_Alta_Disc";37
"Itens_Baixa_Discriminacao";17
"Pct_Baixa_Disc";17
